Fecha,Predicted_PM2.5
2024-01-01,23.339688884191546
2024-01-02,23.485221188785452
2024-01-03,29.894991957441835
2024-01-04,29.53342997741955
2024-01-05,19.684158174112696
2024-01-06,24.553985878216523
2024-01-07,16.416225859203955
2024-01-08,21.541199244014038
2024-01-09,15.373950802048201
2024-01-10,18.846101726964488
2024-01-11,18.94558719281909
2024-01-12,9.967032631550335
2024-01-13,19.051245096114894
2024-01-14,22.555651552928403
2024-01-15,18.93515696686822
2024-01-16,14.170431901314322
2024-01-17,32.10786942842851
2024-01-18,14.484095363716103
2024-01-19,33.22684075947665
2024-01-20,18.395002298229837
2024-01-21,17.018624698558995
2024-01-22,31.962650348286132
2024-01-23,10.376006056328436
2024-01-24,26.83567468129591
2024-01-25,30.5050766905819
2024-01-26,19.82553386553799
2024-01-27,35.20442799783646
2024-01-28,22.137783480149952
2024-01-29,15.292429364792767
2024-01-30,25.99214875576424
2024-01-31,25.90143972929835
2024-02-01,28.81072662379839
2024-02-02,30.292370981588927
2024-02-03,9.975926354950928
2024-02-04,34.72160658870322
2024-02-05,10.687298895074191
2024-02-06,29.88549561645058
2024-02-07,32.06371384588336
2024-02-08,17.851498332181365
2024-02-09,19.037482595992348
2024-02-10,17.24922510138561
2024-02-11,21.71573651404542
2024-02-12,22.638785294383215
2024-02-13,25.800133238931757
2024-02-14,27.571382359821627
2024-02-15,30.910840278973478
2024-02-16,16.960364343139354
2024-02-17,18.80773409574005
2024-02-18,11.656740421091738
2024-02-19,10.98618693530124
2024-02-20,27.110019518981503
2024-02-21,30.988452044027536
2024-02-22,11.407463330848225
2024-02-23,24.174231321049
2024-02-24,21.169214085480206
2024-02-25,25.523289944490948
2024-02-26,17.19465899017086
2024-02-27,22.416530106743224
2024-02-28,20.534310715306848
2024-02-29,18.851152039886333
2024-03-01,24.38273291925918
2024-03-02,21.13872919700465
2024-03-03,19.367255402973495
2024-03-04,23.27623202526187
2024-03-05,22.59856604434653
2024-03-06,24.978929382885294
2024-03-07,21.900111208284372
2024-03-08,32.67085007210746
2024-03-09,25.295427229275013
2024-03-10,18.922729190090408
2024-03-11,20.07147903855764
2024-03-12,17.899080540792013
2024-03-13,27.14602683272437
2024-03-14,23.29541490493127
2024-03-15,19.292883355136674
2024-03-16,20.530541602517697
2024-03-17,11.552478689137878
2024-03-18,14.515528728354978
2024-03-19,12.31488269412531
2024-03-20,15.512441835398015
2024-03-21,35.9612140824649
2024-03-22,39.76370116311252
